iter	RMSE
0	0.4224965424
1	0.4003852268
2	0.3915921481
3	0.3856395788
4	0.3771621073
5	0.372522022
6	0.3696233958
7	0.3665480573
8	0.3648213095
9	0.3626342471
10	0.3606330889
11	0.3598845407
12	0.3587996955
13	0.3566454094
14	0.3557858685
15	0.3553200354
16	0.354116399
17	0.3528362159
18	0.3519938011
19	0.3511659024
20	0.3488174312
21	0.3483494618
22	0.3476692858
23	0.3468212375
24	0.3458461622
25	0.3447663529
26	0.3442815042
27	0.3430427752
28	0.3419559434
29	0.3408014335
30	0.3404012951
31	0.3392050866
32	0.3384811088
33	0.3380502517
34	0.3373351279
35	0.3363250907
36	0.3358384618
37	0.3352186363
38	0.3344889779
39	0.3335643094
40	0.3332478188
41	0.3323341657
42	0.3315733765
43	0.3309346123
44	0.3304209522
45	0.3301991285
46	0.3289232615
47	0.3273991971
48	0.3268401184
49	0.3258373677
50	0.3245342572
51	0.3241792232
52	0.3234874226
53	0.3229619698
54	0.3224979643
55	0.3217145997
56	0.3211256521
57	0.3205655531
58	0.3199539038
59	0.3187027522
60	0.3180389656
61	0.3173819101
62	0.3168156264
63	0.3160823584
64	0.3158747086
65	0.3156904715
66	0.3149079587
67	0.3143726811
68	0.3136643905
69	0.3133363489
70	0.3132051655
71	0.312988097
72	0.3126573655
73	0.3121357721
74	0.3115695831
75	0.3109673075
76	0.310772873
77	0.3104438648
78	0.3099788578
79	0.3097189184
80	0.3090882687
81	0.3087698742
82	0.3078519048
83	0.3073944787
84	0.3068107123
85	0.3059841441
86	0.3055903472
87	0.3051762265
88	0.3047991253
89	0.3044966093
90	0.3041569908
91	0.3039674481
92	0.3035934526
93	0.30336502
94	0.3028821377
95	0.3026282089
96	0.3021583018
97	0.3016827498
98	0.3010987116
99	0.3007029928
