iter	Passed	Remaining
0	5	513
1	8	414
2	11	380
3	15	372
4	23	450
5	26	422
6	30	406
7	34	397
8	38	386
9	41	374
10	45	364
11	48	358
12	52	348
13	55	339
14	58	333
15	62	325
16	65	320
17	68	312
18	72	307
19	75	301
20	78	296
21	82	290
22	85	285
23	88	279
24	91	273
25	94	269
26	97	263
27	100	257
28	103	253
29	106	248
30	109	244
31	112	239
32	115	234
33	118	230
34	121	226
35	124	222
36	128	218
37	131	215
38	135	212
39	139	208
40	142	204
41	145	200
42	148	196
43	151	192
44	154	189
45	158	185
46	161	181
47	164	177
48	167	174
49	170	170
50	174	167
51	176	163
52	179	158
53	181	154
54	183	150
55	186	146
56	188	142
57	191	138
58	193	134
59	195	130
60	198	126
61	200	122
62	202	119
63	205	115
64	207	111
65	209	107
66	211	104
67	214	100
68	216	97
69	219	93
70	221	90
71	224	87
72	227	84
73	229	80
74	232	77
75	234	74
76	236	70
77	239	67
78	241	64
79	243	60
80	246	57
81	248	54
82	250	51
83	252	48
84	255	45
85	257	41
86	259	38
87	262	35
88	264	32
89	267	29
90	269	26
91	272	23
92	274	20
93	276	17
94	278	14
95	281	11
96	283	8
97	285	5
98	288	2
99	290	0
